start_name,end_name,time_seconds
依仁堂,資電學院,81
資電學院,依仁堂,81
依仁堂,羽球館,91
羽球館,依仁堂,91
依仁堂,通訊系,89
通訊系,依仁堂,89
依仁堂,電機系,68
電機系,依仁堂,68
依仁堂,教學研究綜合大樓,58
教學研究綜合大樓,依仁堂,58
依仁堂,大禮堂,112
大禮堂,依仁堂,112
依仁堂,漢堡王,116
漢堡王,依仁堂,116
依仁堂,全家便利商店(中大店),109
全家便利商店(中大店),依仁堂,109
依仁堂,麥味登,106
麥味登,依仁堂,106
依仁堂,松院餐廳,104
松院餐廳,依仁堂,104
依仁堂,路易莎咖啡,108
路易莎咖啡,依仁堂,108
土木系館&化材系館,資電學院,85
資電學院,土木系館&化材系館,85
土木系館&化材系館,中央大學後門,100
中央大學後門,土木系館&化材系館,100
土木系館&化材系館,第二行政中心,107
第二行政中心,土木系館&化材系館,107
土木系館&化材系館,工程一館,10
工程一館,土木系館&化材系館,10
土木系館&化材系館,通訊系,83
通訊系,土木系館&化材系館,83
土木系館&化材系館,電機系,106
電機系,土木系館&化材系館,106
土木系館&化材系館,教學研究綜合大樓,113
教學研究綜合大樓,土木系館&化材系館,113
土木系館&化材系館,大禮堂,79
大禮堂,土木系館&化材系館,79
土木系館&化材系館,女一舍,103
女一舍,土木系館&化材系館,103
土木系館&化材系館,女三舍,115
女三舍,土木系館&化材系館,115
資電學院,中央大學後門,72
中央大學後門,資電學院,72
資電學院,工程一館,85
工程一館,資電學院,85
資電學院,通訊系,10
通訊系,資電學院,10
資電學院,電機系,20
電機系,資電學院,20
資電學院,教學研究綜合大樓,79
教學研究綜合大樓,資電學院,79
資電學院,大禮堂,96
大禮堂,資電學院,96
資電學院,女一舍,115
女一舍,資電學院,115
資電學院,女二舍,98
女二舍,資電學院,98
資電學院,女四舍,118
女四舍,資電學院,118
資電學院,單二舍,115
單二舍,資電學院,115
資電學院,單四舍,117
單四舍,資電學院,117
資電學院,漢堡王,100
漢堡王,資電學院,100
資電學院,全家便利商店(中大店),98
全家便利商店(中大店),資電學院,98
資電學院,麥味登,88
